Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
person-ownership,14621,278,73,92,112,163,60,129854,0.205%,60.99962,20.11,8.72
person-shares,14622,258,73,92,112,169,34,129862,0.212%,61.02493,21.96,8.55
entity-owners,14645,254,73,93,113,175,28,129851,0.246%,61.12628,30.10,8.55
TOTAL,43888,263,73,92,112,169,28,129862,0.221%,183.10241,72.15,25.82
