Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
person-shares,8781,525,80,107,130,231,3,130368,0.649%,48.73325,17.81,6.80
entity-owners,8847,535,80,105,132,253,4,130367,0.791%,49.11235,24.96,6.83
person-ownership,8714,591,80,105,133,248,6,130373,0.700%,48.41891,16.42,6.89
TOTAL,26342,550,80,105,132,244,3,130373,0.714%,146.19257,59.16,20.51
